yaml_file	total_tokens	protein_length	rna_length	dna_length	ligand_count	elapsed_seconds	memory_used_mb	memory_total_mb	memory_percent	gpu_util	temperature	success	job_runtime_seconds
gr24_Q3E870.yaml	100	100	0	0	1	61.998	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	62.515	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	63.041	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	63.564	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	64.084	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	64.609	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	65.126	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	65.643	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	66.212	1699	81920	2.07	17	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	66.729	2697	81920	3.29	4	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	67.247	2991	81920	3.65	71	41	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	67.771	2991	81920	3.65	74	44	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	68.291	2997	81920	3.66	71	47	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	68.819	2997	81920	3.66	97	50	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	69.345	2997	81920	3.66	97	53	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	69.896	2997	81920	3.66	97	54	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	70.423	2997	81920	3.66	97	56	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	70.959	2997	81920	3.66	97	58	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	71.489	2997	81920	3.66	97	59	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	72.014	2997	81920	3.66	97	60	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	72.539	2997	81920	3.66	97	61	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	73.065	2997	81920	3.66	97	62	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	73.598	2997	81920	3.66	97	62	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	74.13	2997	81920	3.66	97	63	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	74.657	2997	81920	3.66	97	64	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	75.188	2997	81920	3.66	96	65	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	75.776	2997	81920	3.66	97	65	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	76.306	2997	81920	3.66	97	66	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	76.835	2997	81920	3.66	97	66	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	77.363	2997	81920	3.66	96	66	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	77.892	3003	81920	3.67	61	61	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	78.422	3003	81920	3.67	9	57	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	78.953	555	81920	0.68	38	54	True	81.61
